id;title;content;creater;create_time;rec_type;receiver;urgent;noti_type;status
1;Books and;background backing interface;orange Loan Chief;magnetic navigating;Account;interfaces;true;75991;43689
2;turquoise orange Books;TCP Pound;out-of-the-box program;Specialist;Engineer function;Checking 街;false;47546;21536
3;Handmade 江西省 旁;Pants;Belize Wooden;plum Borders;invoice lime generate;Cameroon;true;21571;18332
4;transmitter;Extended;seize Berkshire;Rubber Interactions;Brand calculate;compress;false;11385;94716
5;Account;Multi-layered Account Infrastructure;synthesizing Regional;intelligence;bandwidth empower;bricks-and-clicks overriding Metal;false;242;27514
6;initiatives Organized;Nepal copy;payment;monitor superstructure 宁夏;payment;generating withdrawal;false;14457;92383
7;clear-thinking;RAM;deposit;users payment 四川省;Berkshire;Soft deploy 广西省;true;97507;37668
8;paradigms Polarised;Shirt connecting 湖北省;Berkshire Granite;Streamlined sensor;Automotive;withdrawal Factors Bike;true;31972;19505
9;Loti e-business SDD;中心 桥;digital Baht;European;Dobra Marketing;云南省 Generic moderator;false;37790;23512
10;Pants infrastructures Metal;Fresh Loan;solid;digital;back-end multi-tasking Small;leverage card;false;24728;55096
